onset	duration	stage
0	4	2
4	4	2
8	4	2
12	4	2
16	4	1
20	4	2
24	4	2
28	4	2
32	4	2
36	4	2
40	4	2
44	4	2
48	4	2
52	4	2
56	4	2
60	4	2
64	4	2
68	4	2
72	4	2
76	4	2
80	4	2
84	4	2
88	4	1
92	4	2
96	4	2
100	4	2
104	4	2
108	4	2
112	4	2
116	4	2
120	4	2
124	4	2
128	4	2
132	4	2
136	4	1
140	4	2
144	4	2
148	4	2
152	4	2
156	4	2
160	4	2
164	4	2
168	4	2
172	4	2
176	4	2
180	4	2
184	4	2
188	4	2
192	4	2
196	4	2
200	4	2
204	4	2
208	4	2
212	4	2
216	4	2
220	4	2
224	4	1
228	4	2
232	4	2
236	4	2
240	4	2
244	4	2
248	4	2
252	4	2
256	4	2
260	4	2
264	4	2
268	4	2
272	4	2
276	4	2
280	4	2
284	4	2
288	4	1
292	4	2
296	4	2
300	4	2
304	4	2
308	4	2
312	4	1
316	4	2
320	4	2
324	4	2
328	4	2
332	4	2
336	4	2
340	4	2
344	4	2
348	4	1
352	4	2
356	4	2
360	4	2
364	4	2
368	4	2
372	4	2
376	4	2
380	4	2
384	4	2
388	4	2
392	4	2
396	4	2
400	4	2
404	4	2
408	4	2
412	4	2
416	4	2
420	4	2
424	4	2
428	4	3
432	4	3
436	4	3
440	4	3
444	4	3
448	4	3
452	4	3
456	4	3
460	4	3
464	4	3
468	4	3
472	4	3
476	4	3
480	4	3
484	4	3
488	4	3
492	4	3
496	4	3
500	4	3
504	4	3
508	4	3
512	4	3
516	4	3
520	4	3
524	4	3
528	4	3
532	4	3
536	4	3
540	4	3
544	4	3
548	4	3
552	4	3
556	4	3
560	4	3
564	4	3
568	4	3
572	4	3
576	4	3
580	4	3
584	4	1
588	4	1
592	4	1
596	4	1
600	4	1
604	4	1
608	4	1
612	4	1
616	4	2
620	4	2
624	4	2
628	4	2
632	4	2
636	4	2
640	4	2
644	4	2
648	4	2
652	4	2
656	4	2
660	4	2
664	4	2
668	4	2
672	4	2
676	4	2
680	4	2
684	4	2
688	4	2
692	4	2
696	4	1
700	4	1
704	4	1
708	4	1
712	4	1
716	4	2
720	4	2
724	4	2
728	4	2
732	4	2
736	4	2
740	4	2
744	4	2
748	4	2
752	4	2
756	4	2
760	4	2
764	4	2
768	4	2
772	4	2
776	4	2
780	4	2
784	4	2
788	4	2
792	4	2
796	4	2
800	4	2
804	4	1
808	4	1
812	4	2
816	4	2
820	4	2
824	4	2
828	4	2
832	4	2
836	4	2
840	4	2
844	4	2
848	4	2
852	4	2
856	4	2
860	4	2
864	4	2
868	4	2
872	4	2
876	4	2
880	4	2
884	4	2
888	4	2
892	4	2
896	4	2
900	4	2
904	4	2
908	4	1
912	4	2
916	4	2
920	4	2
924	4	2
928	4	2
932	4	2
936	4	2
940	4	2
944	4	2
948	4	2
952	4	2
956	4	2
960	4	2
964	4	2
968	4	2
972	4	2
976	4	2
980	4	2
984	4	2
988	4	2
992	4	2
996	4	2
1000	4	2
1004	4	2
1008	4	1
1012	4	2
1016	4	2
1020	4	2
1024	4	2
1028	4	1
1032	4	2
1036	4	2
1040	4	2
1044	4	2
1048	4	2
1052	4	2
1056	4	2
1060	4	2
1064	4	2
1068	4	2
1072	4	2
1076	4	2
1080	4	2
1084	4	2
1088	4	2
1092	4	2
1096	4	2
1100	4	2
1104	4	2
1108	4	2
1112	4	2
1116	4	2
1120	4	2
1124	4	2
1128	4	2
1132	4	2
1136	4	2
1140	4	2
1144	4	2
1148	4	2
1152	4	2
1156	4	2
1160	4	2
1164	4	2
1168	4	2
1172	4	2
1176	4	2
1180	4	2
1184	4	2
1188	4	2
1192	4	2
1196	4	2
1200	4	2
1204	4	2
1208	4	1
1212	4	1
1216	4	2
1220	4	2
1224	4	2
1228	4	2
1232	4	2
1236	4	2
1240	4	2
1244	4	2
1248	4	2
1252	4	2
1256	4	2
1260	4	2
1264	4	2
1268	4	2
1272	4	2
1276	4	2
1280	4	2
1284	4	2
1288	4	2
1292	4	2
1296	4	2
1300	4	2
1304	4	2
1308	4	2
1312	3	2
